ISSUEDATE,CREATEDBYTYPE,JOBTYPE,COUNTLICENSES
2016-04-07 10:16:47,Staff,Application,1
2016-04-07 10:18:45,Staff,Application,1
2016-04-07 10:25:04,Staff,Application,1
2016-04-07 10:30:55,Staff,Application,1
2016-04-07 10:38:19,Staff,Application,1
2016-04-07 10:40:15,Online,Application,1
2016-04-07 10:44:11,Online,Application,1
2016-04-07 10:55:17,Online,Application,1
2016-04-07 10:55:45,Staff,Application,1
2016-04-07 10:56:30,Staff,Application,1
2016-04-07 11:00:15,Staff,Application,1
2016-04-07 11:06:13,Online,Application,1
2016-04-07 11:15:11,Staff,Application,1
2016-04-07 11:51:44,Staff,Application,1
2016-04-07 11:53:02,Staff,Application,1
2016-04-07 11:54:19,Staff,Application,1
2016-04-07 12:03:20,Staff,Application,1
2016-04-07 12:09:40,Staff,Application,1
2016-04-07 12:11:55,Staff,Application,1
2016-04-07 12:32:13,Staff,Application,1
2016-04-07 12:34:32,Staff,Application,1
2016-04-07 12:41:50,Staff,Application,1
2016-04-07 12:48:12,Staff,Application,1
2016-04-07 12:53:44,Staff,Application,1
2016-04-07 12:57:25,Staff,Application,1
2016-04-07 13:00:46,Staff,Application,1
2016-04-07 13:24:02,Staff,Application,1
2016-04-07 13:25:41,Staff,Application,1
2016-04-07 14:08:05,Staff,Application,1
2016-04-07 14:19:51,Staff,Application,1
2016-04-07 14:46:24,Staff,Application,1
2016-04-07 14:52:49,Staff,Application,1
2016-04-07 15:18:55,Online,Application,1
2016-04-07 15:27:01,Staff,Application,1
2016-04-07 15:36:23,Staff,Application,1
2016-04-07 15:36:46,Staff,Application,1
2016-04-07 15:41:43,Staff,Application,1
2016-04-07 15:45:55,Staff,Application,1
2016-04-07 15:52:40,Staff,Application,1
2016-04-07 15:53:41,Staff,Application,1
2016-04-07 15:57:49,Staff,Application,1
2016-04-07 15:59:40,Staff,Application,1
2016-04-07 16:09:05,Staff,Application,1
2016-04-07 16:09:35,Staff,Application,1
2016-04-08 00:00:00,Staff,Renewal,141
2016-04-08 08:29:15,Staff,Application,1
2016-04-08 08:32:13,Staff,Application,1
2016-04-08 08:36:25,Staff,Application,1
2016-04-08 09:19:10,Staff,Application,1
2016-04-08 09:24:28,Staff,Application,1
2016-04-08 09:44:08,Staff,Application,1
2016-04-08 09:53:19,Staff,Application,1
2016-04-08 09:59:00,Staff,Application,1
2016-04-08 10:02:04,Staff,Application,1
2016-04-08 10:08:00,Online,Application,1
2016-04-08 10:18:36,Staff,Application,1
2016-04-08 10:37:51,Staff,Application,1
2016-04-08 10:42:28,Staff,Application,1
2016-04-08 10:49:04,Staff,Application,1
2016-04-08 10:59:17,Staff,Application,1
2016-04-08 11:02:54,Staff,Application,1
2016-04-08 11:09:25,Staff,Application,1
2016-04-08 11:14:35,Staff,Application,1
2016-04-08 11:29:34,Staff,Application,1
2016-04-08 11:31:47,Staff,Application,1
2016-04-08 11:50:05,Staff,Application,1
2016-04-08 11:53:55,Staff,Application,1
2016-04-08 12:01:16,Staff,Application,1
2016-04-08 12:07:48,Staff,Application,1
2016-04-08 12:13:05,Staff,Application,1
2016-04-08 12:16:40,Staff,Application,1
2016-04-08 12:23:27,Staff,Application,1
2016-04-08 12:34:39,Staff,Application,1
2016-04-08 12:36:56,Staff,Application,1
2016-04-08 12:49:49,Staff,Application,1
2016-04-08 13:24:08,Staff,Application,1
2016-04-08 13:24:36,Staff,Application,1
2016-04-08 13:24:37,Staff,Application,1
2016-04-08 13:39:44,Staff,Application,1
2016-04-08 13:53:48,Staff,Application,1
2016-04-08 14:10:44,Staff,Application,1
2016-04-08 14:18:27,Staff,Application,1
2016-04-08 14:20:31,Staff,Application,1
2016-04-08 14:33:28,Staff,Application,1
2016-04-08 14:33:47,Staff,Application,1
2016-04-08 14:40:02,Staff,Application,1
2016-04-08 14:42:00,Staff,Application,1
2016-04-08 14:43:36,Online,Application,1
2016-04-08 14:46:39,Staff,Application,1
2016-04-08 14:54:18,Staff,Application,1
2016-04-08 14:54:47,Staff,Application,1
2016-04-08 15:00:03,Staff,Application,1
2016-04-08 15:14:49,Staff,Application,1
2016-04-08 15:27:01,Staff,Application,1
2016-04-08 15:31:50,Staff,Application,1
2016-04-08 15:52:13,Staff,Application,1
2016-04-08 15:58:59,Staff,Application,1
2016-04-08 16:05:17,Staff,Application,1
2016-04-08 16:10:25,Staff,Application,1
2016-04-08 16:11:57,Staff,Application,1
2016-04-08 16:19:00,Staff,Application,1
2016-04-09 00:00:00,Staff,Renewal,36
2016-04-09 09:58:23,Staff,Application,1
2016-04-10 00:00:00,Staff,Renewal,9
2016-04-11 00:00:00,Staff,Renewal,196
2016-04-11 08:36:52,Staff,Application,1
2016-04-11 08:46:41,Staff,Application,1
2016-04-11 08:48:38,Staff,Application,1
2016-04-11 09:02:32,Staff,Application,1
2016-04-11 09:32:44,Staff,Application,1
2016-04-11 09:40:09,Staff,Application,1
2016-04-11 09:50:42,Staff,Application,1
2016-04-11 09:59:43,Staff,Application,1
2016-04-11 10:06:57,Online,Application,1
2016-04-11 10:17:45,Staff,Application,1
2016-04-11 10:22:59,Staff,Application,1
2016-04-11 10:26:08,Staff,Application,1
2016-04-11 10:27:14,Staff,Application,1
2016-04-11 10:44:09,Staff,Application,1
2016-04-11 11:06:30,Online,Application,1
2016-04-11 11:08:57,Staff,Application,1
2016-04-11 11:20:26,Staff,Application,1
2016-04-11 11:24:45,Online,Application,1
2016-04-11 11:25:08,Staff,Application,1
2016-04-11 11:38:28,Staff,Application,1
2016-04-11 11:47:38,Staff,Application,1
2016-04-11 11:54:07,Staff,Application,1
2016-04-11 12:08:09,Online,Application,1
2016-04-11 12:22:53,Online,Application,1
2016-04-11 12:36:25,Online,Application,1
2016-04-11 12:55:04,Online,Application,1
2016-04-11 13:03:59,Staff,Application,1
2016-04-11 13:34:22,Staff,Application,1
2016-04-11 13:45:45,Staff,Application,1
2016-04-11 13:46:47,Online,Application,1
2016-04-11 13:47:12,Staff,Application,1
2016-04-11 13:49:25,Staff,Application,1
2016-04-11 13:55:46,Staff,Application,1
2016-04-11 14:12:19,Staff,Application,1
2016-04-11 14:24:40,Online,Application,1
2016-04-11 14:25:23,Staff,Application,1
2016-04-11 14:31:04,Staff,Application,1
2016-04-11 14:33:57,Staff,Application,1
2016-04-11 14:36:16,Staff,Application,1
2016-04-11 14:49:08,Staff,Application,1
2016-04-11 15:00:40,Staff,Application,1
2016-04-11 15:01:52,Staff,Application,1
2016-04-11 15:02:00,Online,Application,1
2016-04-11 15:09:58,Staff,Application,1
2016-04-11 15:18:41,Online,Application,1
2016-04-11 15:46:15,Online,Application,1
2016-04-11 15:51:36,Staff,Application,1
2016-04-11 17:02:10,Staff,Application,1
2016-04-11 17:10:15,Staff,Application,1
2016-04-11 17:18:15,Staff,Application,1
2016-04-11 17:33:13,Staff,Application,1
2016-04-11 18:00:14,Staff,Application,1
2016-04-11 18:07:23,Staff,Application,1
2016-04-11 18:26:46,Staff,Application,1
2016-04-11 18:35:29,Staff,Application,1
2016-04-12 00:00:00,Staff,Renewal,154
2016-04-12 08:55:52,Staff,Application,1
2016-04-12 09:05:56,Staff,Application,1
2016-04-12 09:08:28,Staff,Application,1
2016-04-12 09:11:13,Staff,Application,1
2016-04-12 09:13:23,Staff,Application,1
2016-04-12 09:21:45,Staff,Application,1
2016-04-12 09:28:32,Staff,Application,1
2016-04-12 09:30:30,Staff,Application,1
2016-04-12 10:04:00,Staff,Application,1
2016-04-12 10:04:16,Staff,Application,1
2016-04-12 10:08:56,Staff,Application,1
2016-04-12 10:13:53,Staff,Application,1
2016-04-12 10:21:47,Staff,Application,1
2016-04-12 10:39:48,Staff,Application,1
2016-04-12 10:49:39,Staff,Application,1
2016-04-12 10:54:39,Staff,Application,1
2016-04-12 10:58:37,Staff,Application,1
2016-04-12 11:01:19,Staff,Application,1
2016-04-12 11:07:16,Staff,Application,1
2016-04-12 11:07:25,Staff,Application,1
2016-04-12 11:08:03,Staff,Application,1
2016-04-12 11:10:21,Staff,Application,1
2016-04-12 11:16:28,Staff,Application,1
2016-04-12 11:16:38,Staff,Application,1
2016-04-12 11:23:06,Staff,Application,1
2016-04-12 11:40:35,Staff,Application,1
2016-04-12 11:51:12,Staff,Application,1
2016-04-12 12:07:13,Staff,Application,1
2016-04-12 12:15:45,Staff,Application,1
2016-04-12 12:44:41,Staff,Application,1
2016-04-12 12:52:57,Staff,Application,1
2016-04-12 13:04:48,Staff,Application,1
2016-04-12 13:29:01,Staff,Application,1
2016-04-12 13:31:29,Staff,Application,1
2016-04-12 13:32:38,Staff,Application,1
2016-04-12 13:44:09,Staff,Application,1
2016-04-12 13:49:52,Staff,Application,1
2016-04-12 13:51:12,Staff,Application,1
2016-04-12 13:58:58,Staff,Application,1
2016-04-12 14:08:47,Staff,Application,1
2016-04-12 14:15:16,Staff,Application,1
2016-04-12 14:27:16,Staff,Application,1
2016-04-12 14:46:07,Staff,Application,1
2016-04-12 15:11:00,Staff,Application,1
2016-04-12 15:29:06,Staff,Application,1
2016-04-12 15:34:15,Staff,Application,1
2016-04-12 15:36:55,Staff,Application,1
2016-04-12 16:09:59,Staff,Application,1
2016-04-12 16:36:13,Staff,Application,1
2016-04-12 16:47:26,Staff,Application,1
2016-04-12 16:54:41,Staff,Application,1
2016-04-12 16:56:34,Online,Application,1
2016-04-13 00:00:00,Online,Renewal,1
2016-04-13 00:00:00,Staff,Renewal,134
2016-04-13 08:31:10,Staff,Application,1
2016-04-13 08:46:27,Staff,Application,1
2016-04-13 09:28:49,Staff,Application,1
2016-04-13 09:32:44,Staff,Application,1
2016-04-13 09:52:28,Staff,Application,1
2016-04-13 09:58:07,Staff,Application,1
2016-04-13 10:20:06,Staff,Application,1
2016-04-13 10:31:57,Staff,Application,1
2016-04-13 10:36:35,Staff,Application,1
2016-04-13 10:36:47,Online,Application,1
2016-04-13 10:44:28,Staff,Application,1
2016-04-13 10:56:57,Staff,Application,1
2016-04-13 11:00:01,Staff,Application,1
2016-04-13 11:19:49,Staff,Application,1
2016-04-13 11:20:29,Staff,Application,1
2016-04-13 11:23:30,Staff,Application,1
2016-04-13 11:39:30,Staff,Application,1
2016-04-13 11:43:31,Staff,Application,1
2016-04-13 11:56:01,Staff,Application,1
2016-04-13 12:04:15,Staff,Application,1
2016-04-13 12:05:46,Staff,Application,1
2016-04-13 12:26:34,Staff,Application,1
2016-04-13 12:33:37,Staff,Application,1
2016-04-13 12:35:59,Staff,Application,1
2016-04-13 12:47:15,Staff,Application,1
2016-04-13 12:56:07,Staff,Application,1
2016-04-13 13:03:58,Staff,Application,1
2016-04-13 13:05:53,Staff,Application,1
2016-04-13 13:06:34,Staff,Application,1
2016-04-13 13:15:19,Staff,Application,1
2016-04-13 13:17:09,Staff,Application,1
2016-04-13 13:19:21,Online,Application,1
2016-04-13 13:24:58,Staff,Application,1
2016-04-13 13:29:58,Staff,Application,1
2016-04-13 13:30:38,Staff,Application,1
2016-04-13 13:39:00,Staff,Application,1
2016-04-13 13:58:11,Staff,Application,1
2016-04-13 14:00:11,Staff,Application,1
2016-04-13 14:13:07,Staff,Application,1
2016-04-13 14:24:12,Staff,Application,1
2016-04-13 14:30:20,Staff,Application,1
2016-04-13 14:32:30,Staff,Application,1
2016-04-13 14:35:04,Staff,Application,1
2016-04-13 14:50:38,Staff,Application,1
2016-04-13 14:52:33,Staff,Application,1
2016-04-13 15:08:09,Staff,Application,1
2016-04-13 15:15:04,Staff,Application,1
2016-04-13 15:18:27,Staff,Application,1
2016-04-13 15:31:32,Staff,Application,1
2016-04-13 15:38:50,Staff,Application,1
2016-04-13 15:40:31,Staff,Application,1
2016-04-13 15:47:01,Staff,Application,1
2016-04-13 15:50:08,Staff,Application,1
2016-04-13 15:50:51,Staff,Application,1
2016-04-13 15:58:33,Staff,Application,1
2016-04-13 16:14:19,Staff,Application,1
2016-04-13 16:30:30,Staff,Application,1
2016-04-13 16:35:08,Staff,Application,1
2016-04-13 16:44:10,Staff,Application,1
2016-04-14 00:00:00,Staff,Renewal,369
2016-04-14 08:40:07,Online,Application,1
2016-04-14 08:42:42,Staff,Application,1
2016-04-14 08:49:59,Staff,Application,1
2016-04-14 09:24:57,Staff,Application,1
2016-04-14 09:40:22,Staff,Application,1
2016-04-14 09:40:31,Online,Application,1
2016-04-14 09:42:12,Online,Application,1
2016-04-14 09:42:55,Staff,Application,1
2016-04-14 09:49:28,Staff,Application,1
2016-04-14 09:49:58,Online,Application,1
2016-04-14 09:51:22,Online,Application,1
2016-04-14 09:52:22,Online,Application,1
2016-04-14 09:56:36,Online,Application,1
2016-04-14 10:10:21,Staff,Application,1
2016-04-14 10:10:41,Staff,Application,1
2016-04-14 10:19:43,Staff,Application,1
2016-04-14 10:21:07,Staff,Application,1
2016-04-14 10:22:42,Staff,Application,1
2016-04-14 10:40:33,Online,Application,1
2016-04-14 10:51:24,Online,Application,1
2016-04-14 11:16:40,Staff,Application,1
2016-04-14 11:18:02,Staff,Application,1
2016-04-14 11:31:46,Staff,Application,1
2016-04-14 11:42:30,Online,Application,1
2016-04-14 11:43:00,Staff,Application,1
2016-04-14 11:43:18,Online,Application,1
2016-04-14 11:45:12,Online,Application,1
2016-04-14 11:58:06,Staff,Application,1
2016-04-14 12:00:51,Online,Application,1
2016-04-14 12:04:27,Online,Application,1
2016-04-14 12:40:37,Staff,Application,1
2016-04-14 12:52:34,Online,Application,1
2016-04-14 13:02:07,Online,Application,1
2016-04-14 13:08:22,Online,Application,1
2016-04-14 13:14:05,Staff,Application,1
2016-04-14 13:26:53,Online,Application,1
2016-04-14 13:36:12,Online,Application,1
2016-04-14 13:37:24,Staff,Application,1
2016-04-14 13:38:01,Online,Application,1
2016-04-14 13:45:14,Staff,Application,1
2016-04-14 14:05:25,Staff,Application,1
2016-04-14 14:06:45,Staff,Application,1
2016-04-14 14:11:24,Online,Application,1
2016-04-14 14:22:37,Staff,Application,1
2016-04-14 14:28:17,Staff,Application,2
2016-04-14 14:37:29,Staff,Application,1
2016-04-14 14:38:56,Staff,Application,1
2016-04-14 14:40:22,Staff,Application,1
2016-04-14 14:54:31,Staff,Application,1
2016-04-14 15:05:54,Staff,Application,1
2016-04-14 15:17:32,Staff,Application,1
2016-04-14 15:19:17,Online,Application,1
2016-04-14 15:23:59,Staff,Application,1
2016-04-14 15:28:09,Staff,Application,1
2016-04-14 15:35:10,Online,Application,1
2016-04-14 15:42:16,Online,Application,1
2016-04-14 15:53:38,Staff,Application,1
2016-04-14 15:58:13,Online,Application,1
2016-04-14 16:13:17,Online,Application,1
2016-04-14 16:17:31,Staff,Application,1
2016-04-14 16:21:34,Staff,Application,1
2016-04-14 16:35:23,Staff,Application,1
2016-04-14 16:36:31,Staff,Application,1
2016-04-14 16:47:24,Online,Application,1
2016-04-14 17:12:49,Online,Application,1
2016-04-15 00:00:00,Staff,Renewal,244
2016-04-15 08:34:09,Staff,Application,1
2016-04-15 08:37:23,Staff,Application,1
2016-04-15 08:48:17,Staff,Application,1
2016-04-15 09:23:57,Online,Application,1
2016-04-15 09:56:18,Online,Application,1
2016-04-15 10:06:36,Staff,Application,1
2016-04-15 10:12:38,Staff,Application,1
2016-04-15 10:13:15,Online,Application,1
2016-04-15 10:20:59,Online,Application,1
2016-04-15 10:35:01,Staff,Application,1
2016-04-15 10:46:52,Staff,Application,1
2016-04-15 11:21:12,Online,Application,1
2016-04-15 11:28:25,Staff,Application,1
2016-04-15 11:42:11,Staff,Application,1
2016-04-15 11:51:55,Online,Application,1
2016-04-15 11:55:00,Staff,Application,1
2016-04-15 12:00:41,Online,Application,1
2016-04-15 12:20:55,Staff,Application,1
2016-04-15 12:23:18,Staff,Application,1
2016-04-15 12:31:19,Staff,Application,1
2016-04-15 12:42:19,Staff,Application,1
2016-04-15 12:47:10,Online,Application,1
2016-04-15 13:07:29,Online,Application,1
2016-04-15 13:27:46,Online,Application,1
2016-04-15 13:59:10,Staff,Application,1
2016-04-15 14:04:04,Online,Application,1
2016-04-15 14:12:14,Staff,Application,1
2016-04-15 14:21:32,Staff,Application,1
2016-04-15 14:29:50,Staff,Application,1
2016-04-15 14:34:22,Staff,Application,1
2016-04-15 14:36:42,Staff,Application,1
2016-04-15 15:15:06,Staff,Application,1
2016-04-15 15:15:59,Online,Application,1
2016-04-15 15:18:03,Online,Application,1
2016-04-15 15:28:45,Staff,Application,1
2016-04-15 15:36:18,Staff,Application,1
2016-04-15 15:41:21,Staff,Application,1
2016-04-15 15:47:41,Staff,Application,1
2016-04-15 15:55:34,Staff,Application,1
2016-04-16 00:00:00,Staff,Renewal,25
2016-04-16 14:22:02,Online,Application,1
2016-04-16 14:32:00,Online,Application,1
2016-04-17 00:00:00,Staff,Renewal,29
2016-04-18 00:00:00,Staff,Renewal,183
2016-04-18 08:59:12,Staff,Application,1
2016-04-18 09:51:58,Staff,Application,1
2016-04-18 09:55:05,Online,Application,1
2016-04-18 10:08:30,Staff,Application,1
2016-04-18 10:44:32,Online,Application,1
2016-04-18 11:00:37,Staff,Application,1
2016-04-18 11:32:20,Staff,Application,1
2016-04-18 11:52:49,Online,Application,1
2016-04-18 11:56:36,Staff,Application,1
2016-04-18 12:00:22,Staff,Application,1
2016-04-18 12:09:35,Staff,Application,1
2016-04-18 12:14:53,Staff,Application,1
2016-04-18 12:31:47,Staff,Application,1
2016-04-18 12:54:53,Staff,Application,1
2016-04-18 12:59:57,Staff,Application,1
2016-04-18 13:04:59,Staff,Application,1
2016-04-18 13:14:25,Staff,Application,1
2016-04-18 13:19:40,Online,Application,1
2016-04-18 13:30:07,Staff,Application,1
2016-04-18 13:42:31,Staff,Application,1
2016-04-18 13:46:37,Online,Application,1
2016-04-18 13:51:06,Staff,Application,1
2016-04-18 13:58:40,Online,Application,1
2016-04-18 14:09:22,Staff,Application,1
2016-04-18 14:14:35,Staff,Application,1
2016-04-18 14:33:10,Staff,Application,1
2016-04-18 14:38:23,Staff,Application,1
2016-04-18 14:58:15,Staff,Application,1
2016-04-18 15:00:49,Staff,Application,1
2016-04-18 15:03:08,Staff,Application,1
2016-04-18 15:08:43,Staff,Application,1
2016-04-18 15:22:25,Staff,Application,1
2016-04-18 15:25:12,Staff,Application,1
2016-04-18 15:27:44,Staff,Application,1
2016-04-18 15:30:36,Online,Application,1
2016-04-18 15:38:16,Staff,Application,1
2016-04-18 15:50:54,Staff,Application,1
2016-04-18 15:56:48,Staff,Application,1
2016-04-18 15:56:58,Staff,Application,1
2016-04-18 16:00:53,Online,Application,1
2016-04-18 16:05:55,Staff,Application,1
2016-04-18 16:06:09,Staff,Application,1
2016-04-18 16:12:09,Staff,Application,1
2016-04-18 16:15:16,Staff,Application,1
2016-04-18 16:18:39,Online,Application,1
2016-04-18 16:32:08,Staff,Application,1
